muni_code,pop,built-area
2710,58832,10.183
31,35794,5.956
2400,39136,3.482
1020,20941,3.094
2600,53219,10.525
1309,49901,2.062
3570,19929,3.591
70,226734,21.491
7100,154042,21.433
6000,31495,7.459
9000,214530,33.242
9200,19164,4.423
2610,156532,11.219
3780,64250,2.904
6100,217953,6.647
6200,128804,6.633
681,29282,2.276
6300,61943,3.231
2200,36873,8.635
9700,65829,10.038
6400,107284,14.207
6500,103466,15.788
6600,198176,14.158
4000,291439,41.610
6700,48721,7.515
2730,46129,9.878
2720,27842,9.444
2100,29116,3.259
8900,35974,8.891
2660,56584,6.699
9400,31553,3.732
240,24766,4.175
3000,981232,77.712
168,29604,3.397
6900,101822,11.058
634,25356,7.025
1139,47348,8.480
7000,85835,9.051
874,27053,4.973
3797,84043,2.657
1200,99956,13.384
3616,37363,7.541
1063,22529,4.907
9100,64450,7.800
7200,50491,7.192
7300,77994,9.681
1061,44583,7.684
2500,23871,4.054
246,47137,5.880
7400,234108,20.389
7500,33295,5.356
7600,51690,7.743
7700,61967,9.878
531,27200,4.519
2560,28406,8.623
7900,255430,22.373
8000,38152,6.118
638,24275,6.772
2620,43317,3.479
6800,61373,9.988
9500,44845,4.788
2630,65357,10.233
9600,41790,3.609
8200,48256,3.544
1034,25760,3.418
2800,22431,5.924
2640,74115,9.319
8300,260971,26.189
1161,79127,11.431
8400,151489,14.311
8500,79057,9.279
8600,172605,13.435
2650,48234,7.834
8700,81085,10.308
1031,33248,5.530
8800,43597,8.894
5000,475220,40.990
472,7961,1.470
473,14724,2.472
182,14448,4.693
3760,9362,1.517
565,13600,1.985
478,15383,1.993
41,3482,1.043
3750,8003,1.317
3560,4334,0.918
529,13894,4.798
3650,11992,1.980
2530,31768,4.664
482,10346,1.681
4001,6813,2.041
998,10207,2.607
3574,5847,0.867
3652,5518,1.192
480,12471,3.416
466,7838,1.137
1066,6860,0.580
9800,16371,5.296
1326,10812,2.134
944,8157,2.144
483,8653,1.514
3730,21342,1.825
1292,21673,3.110
2550,31673,4.493
485,6777,2.086
627,10654,1.451
166,24569,4.522
229,23926,1.805
541,15527,1.056
487,3155,0.921
628,12713,4.276
494,18272,7.212
489,10866,1.837
490,13115,1.921
492,10765,1.977
3769,4103,0.956
9300,24332,5.740
1290,7479,4.602
975,8587,2.871
1303,24801,6.096
496,6678,1.862
2034,10074,2.593
1247,34230,3.633
962,7140,1.644
498,14859,2.439
1295,6943,2.001
46,4551,2.905
29,1823,1.671
499,19756,2.342
831,11249,3.832
502,17811,5.751
504,14691,2.916
505,3785,0.880
1224,9049,2.516
1059,23975,4.142
1296,9271,2.789
978,5895,1.251
633,3955,0.576
1263,5613,2.364
507,10419,1.406
508,3530,1.110
509,24193,4.183
510,21559,3.467
654,20132,6.019
267,1961,1.669
47,4435,1.791
1271,7238,2.190
1060,16017,3.682
1015,25542,3.868
481,24061,4.589
516,15824,2.491
65,2028,1.551
4201,11503,3.949
28,15789,2.454
517,4130,0.386
43,1720,1.143
1268,10936,3.731
4203,3886,1.485
518,3297,1.135
3608,1383,0.675
1327,15916,3.686
99,5302,1.649
520,8761,1.653
522,13747,1.866
525,4491,1.349
587,4054,3.460
4501,2798,0.210
666,7764,5.010
530,5832,1.323
511,8907,1.781
532,13970,1.456
4502,2197,0.807
3660,4771,0.562
534,12915,4.097
637,26169,6.177
1192,20357,4.054
537,13755,1.974
535,3254,1.190
536,6125,2.088
7800,45035,10.793
171,7471,0.950
3557,4606,1.277
195,23289,5.312
4100,7910,2.556
3611,7513,1.380
2300,19237,5.470
1137,6565,0.427
469,10999,2.107
3640,9879,1.997
543,7795,1.615
26,3300,2.782
542,19457,3.835
922,14280,1.410
122,8164,1.577
913,6385,1.475
1286,12537,3.045
1304,23190,2.726
812,7493,2.290
538,7498,0.795
154,14684,2.866
1054,22841,3.953
